SMILES,log_solubility
O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2cc(S(=O)(=O)O)ccc21,-1.05860448
CC(C)(C)c1cc2c(cc1C(=O)O)C(=O)c1ccccc1C2=O,1.673036987
Nc1cc(O)c(O)c2c1C(=O)c1ccccc1C2=O,1.811767776
Cc1cccc2c1C(=O)c1c(cccc1S(=O)(=O)O)C2=O,1.297569244
CC(C)(C)c1cc(C(=O)O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.759210458
CC(C)(C)c1ccc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.592466567
O=C1c2ccccc2C(=O)c2c1c(Cl)cc(S(=O)(=O)O)c2S(=O)(=O)O,1.036922746
CC(C)(C)c1ccc2c(c1)C(=O)c1cc(Cl)ccc1C2=O,0.696059113
Cc1cc(C(=O)O)c2c(c1C(C)(C)C)C(=O)c1ccccc1C2=O,2.343047178
O=C1c2ccccc2C(=O)c2c1ccc(Cl)c2O,1.739708282
O=C1c2cccc(Cl)c2C(=O)c2c(Cl)cccc21,1.449835302
O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2ccc(Cl)cc21,-0.08296816
Cc1cc(O)c(N)c2c1C(=O)c1ccccc1C2=O,2.007881653
Cc1c(Br)cc(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.494621903
CC(C)(C)c1cccc2c1C(=O)c1c(C(=O)O)cccc1C2=O,2.0192563
Cc1cc(C(=O)O)c(N)c2c1C(=O)c1ccccc1C2=O,1.858018215
Cc1cc(Cl)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.85861887
O=C(O)c1cc(Cl)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.512641555
O=C1c2ccccc2C(=O)c2c(Br)c(Br)cc(Cl)c21,1.469995045
O=C1c2cccc(Br)c2C(=O)c2c1cccc2S(=O)(=O)O,0.746618388
CC(C)(C)c1c(Cl)cc(Cl)c2c1C(=O)c1ccccc1C2=O,2.206698479
Cc1cc(N)c2c(c1C(C)(C)C)C(=O)c1ccccc1C2=O,2.447260831
Cc1c(Cl)cc(N)c2c1C(=O)c1ccccc1C2=O,1.962832524
Cc1cc(S(=O)(=O)O)c2c(c1C(C)(C)C)C(=O)c1ccccc1C2=O,2.105187773
O=C1c2ccccc2C(=O)c2c1ccc(Cl)c2S(=O)(=O)O,1.158124019
Nc1cc(O)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,1.661904338
CC(C)(C)c1cc2c(cc1O)C(=O)c1ccccc1C2=O,1.897832144
O=C(O)c1c(O)cc(Br)c2c1C(=O)c1ccccc1C2=O,1.53636743
CC(C)(C)c1ccc2c(c1)C(=O)c1cc(C(C)(C)C)ccc1C2=O,1.422701574
O=C1c2ccccc2C(=O)c2c1c(O)cc(Cl)c2S(=O)(=O)O,1.424645588
CC(C)(C)c1cc(Cl)c2c(c1Br)C(=O)c1ccccc1C2=O,2.080560916
Cc1cc(Cl)c2c(c1C(C)(C)C)C(=O)c1ccccc1C2=O,2.447861486
CC(C)(C)c1cc(Cl)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,2.10188417
Cc1cc(C(C)(C)C)c2c(c1Cl)C(=O)c1ccccc1C2=O,2.447861486
CC(C)(C)c1cccc2c1C(=O)c1cccc(Cl)c1C2=O,1.329848567
O=C(O)c1cc(O)c(O)c2c1C(=O)c1ccccc1C2=O,1.707554122
O=C1c2cccc(O)c2C(=O)c2c1cccc2S(=O)(=O)O,1.003398427
